customer_id,age,gender,location,monthly_income,monthly_emi_outflow,current_outstanding,credit_utilization_ratio,num_open_loans,repayment_history_score,dpd_last_3_months,num_hard_inquiries_last_6m,recent_credit_card_usage,recent_loan_disbursed_amount,total_credit_limit,months_since_last_default,target_credit_score_movement
25795,33,Male,Urban,49961,22996,220563,0.9,1,67,16,1,4342,46665,426816,17.0,decrease
10860,29,Female,Rural,32187,10759,83879,0.98,2,35,1,1,21898,51679,181143,7.0,stable
86820,49,Male,Urban,44320,17560,137023,0.61,2,31,37,0,27111,13417,431710,59.0,decrease
64886,61,Male,Semi-Urban,71687,27467,203535,0.87,1,95,20,1,15713,100761,262640,58.0,increase
16265,44,Male,Semi-Urban,37596,9512,59453,0.46,0,59,57,0,35615,48464,264838,1.0,decrease
92386,36,Male,Semi-Urban,67500,37821,94985,0.53,1,20,85,1,12740,9514,412943,29.0,decrease
47194,32,Male,Urban,36398,17029,69525,0.74,2,64,15,6,26330,73532,245589,20.0,increase
97498,22,Female,Urban,21597,9960,78541,0.78,4,54,73,1,25778,28808,148859,10.0,stable
54131,39,Female,Urban,58206,20581,261397,0.8,0,12,11,1,10738,45628,502492,12.0,stable
70263,50,Male,Rural,22825,4448,46745,0.77,5,94,26,2,29487,61776,109573,,increase
26023,36,Male,Urban,51539,16235,120061,0.31,0,7,88,1,19214,50150,416823,49.0,increase
51090,44,Female,Urban,38537,8171,93111,0.95,1,89,59,1,21970,30477,280815,38.0,stable
77221,33,Male,Urban,70857,13791,281648,0.58,2,100,50,1,20607,53746,488934,15.0,increase
74820,25,Female,Urban,63723,9592,164087,0.41,3,41,68,1,9483,80689,289935,46.0,increase
10769,43,Female,Urban,58376,13653,179648,0.2,1,42,61,1,21374,56483,438294,15.0,stable
69735,58,Male,Semi-Urban,51768,22631,192968,0.47,1,79,15,0,12025,18535,315304,28.0,increase
72955,51,Male,Urban,56726,27638,262404,0.63,2,43,47,0,21398,59346,526562,60.0,decrease
74925,37,Female,Semi-Urban,68094,38639,94304,0.81,0,46,76,3,28919,48154,618470,44.0,increase
77969,23,Male,Semi-Urban,31527,10961,149748,0.39,3,80,81,0,30118,40372,137878,54.0,stable
15311,46,Male,Urban,32395,13865,97829,0.91,2,89,55,4,10770,87060,127874,60.0,decrease
93104,33,Male,Urban,51699,29586,73064,0.87,0,35,83,2,27375,60602,338624,55.0,increase
63707,64,Female,Urban,51004,22236,157672,0.87,1,99,16,3,26141,51495,207008,28.0,increase
95305,58,Female,Urban,74606,33977,211679,0.97,1,81,57,2,22830,78308,611014,31.0,decrease
38693,42,Female,Semi-Urban,61200,30007,105832,0.86,1,54,50,1,18627,44555,376736,35.0,stable
81932,41,Male,Rural,36192,8036,80877,0.51,4,37,4,1,8724,51336,188747,,decrease
35658,49,Male,Urban,46927,22827,110308,0.82,1,26,14,3,38838,3556,237088,33.0,increase
94478,59,Male,Semi-Urban,51991,28386,143059,0.7,4,23,34,4,27418,68394,454236,43.0,increase
28431,25,Male,Urban,22479,2992,96292,0.22,1,20,44,0,33370,91425,126723,,increase
12747,34,Female,Urban,44831,24827,120733,0.23,0,80,47,1,32173,64803,442314,44.0,decrease
69150,38,Female,Rural,39360,9886,171841,0.67,0,90,34,2,37220,33205,149816,7.0,stable
75725,24,Male,Rural,38328,20314,101869,0.36,2,19,84,2,3046,39511,352367,31.0,increase
94654,53,Female,Urban,30579,3826,61774,0.71,1,23,0,1,15104,76390,231409,40.0,stable
